ID	Individual_ID	Individual_code	Locality	Species_name	Zone	SLA	LA	LDMC	Thickness
260	140246	M03-MESQ-02	M03	Meliosma squamulata	M	11.95730145	2151.368333	399.5536337	0.305833335
261	140247	M03-MAZU-03	M03	Machilus zuihoensis	M	9.633482798	2758.700667	445.9004536	0.305000005
262	140248	M03-ITPA-04	M03	Itea parviflora	M	14.73328333	2563.031333	413.4702634	0.211666665
263	140249	M03-DIMO-02	M03	Diospyros morrisiana	M	18.95628239	2091.459	327.8469646	0.21083333
264	140250	M03-LIAC-04	M03	Litsea acuminata	M	13.10458662	2778.289333	470.3021224	0.240833332
265	140251	M03-BLCO-06	M03	Blastus cochinchinensis	M	31.64728411	5154.720333	241.2690394	0.182500001
266	140252	M03-DIMO-03	M03	Diospyros morrisiana	M	12.09386484	1941.577667	373.7884556	0.287500004
267	140253	M03-PYSH-02	M03	Pyrenaria shinkoensis	M	12.02935836	2909.017	314.8745496	0.328333336
268	140254	M03-CIKA-02	M03	Cinnamomum kanehirae	M	9.881006185	6415.480333	381.7931128	0.305833335
269	140255	M03-MICO-04	M03	Michelia compressa	M	14.97205305	1881.002	310.2540818	0.280833331
270	140256	M03-OSMA-03	M03	Osmanthus matsumuranus	M	11.37714338	3171.381333	438.6027351	0.260833333
271	140257	M03-CYLO-02	M03	Cyclobalanopsis longinux	M	14.85493357	1579.218667	458.8851824	0.209999997
