"Lat"	"NS"	"Long"	"EW"	"Elev"	"Precip"
"kitlope2"	52.2	"N"	127.8	"W"	10	2100
"laurelri"	39.95	"N"	79.37	"W"	670	1000
"montgome"	43.17	"N"	77.62	"W"	210	874
"mtsthila"	45.62	"N"	73.58	"W"	NA	750
"nwbranch"	39.3	"N"	77.3	"W"	20	1060
"potomac"	38.8	"N"	76.57	"W"	33	875
"sanfelas"	29.68	"N"	82.43	"W"	30	1375
"tidroute"	41.7	"N"	79.4	"W"	310	1000
"tysongla"	38.5	"N"	90.52	"W"	150	932
"tysonwoo"	38.5	"N"	90.52	"W"	150	932
"ufhortic"	29.67	"N"	82.33	"W"	50	1375
"valleyvi"	38.25	"N"	90.62	"W"	225	930
"avalanch"	11.3	"N"	76.58	"E"	2100	1400
"baitete"	5.17	"S"	145.8	"E"	200	3375
"bakosar"	1.75	"N"	110.42	"E"	90	4000
"davies"	17.8	"S"	145.57	"E"	770	2300
"genting"	3.97	"N"	101.63	"E"	890	2000
"chiba"	35.15	"N"	140.15	"E"	270	2600
"kenting"	21.92	"N"	120.83	"E"	200	2500
"khaoyai"	14.33	"N"	101.83	"E"	700	2300
"mudumal1"	11.6	"N"	76.53	"E"	1000	1000
"mudumal2"	11.6	"N"	76.53	"E"	1000	1000
"nadugani"	11.45	"N"	76.38	"E"	690	2500
"nanjensh"	22	"N"	120.83	"E"	310	2500
"newcaldo"	22.17	"S"	166.83	"E"	400	2200
"palanan"	17.13	"N"	122.52	"E"	30	2400
"pasoh30"	3	"N"	102.33	"E"	100	2054
"pasoh40"	3	"N"	102.33	"E"	100	2054
"sakaera2"	14.5	"N"	102	"E"	400	1500
"sakaerat"	14.5	"N"	102	"E"	400	1500
"semengoh"	1.83	"N"	110.8	"E"	100	4167
"varirata"	9.5	"S"	147.5	"E"	740	1000
